loved	3	loved3	The kid loved by her parents slept peacefully .
loved	4	loved4	The janitor loved by the employees was cheerful . 
paid	1	paid1	The cashier paid by the customer muttered something inaudibly . 
paid	2	paid2	The organization paid by the government expanded its mission . 
paid	3	paid3	The broker paid by the company signed the contract .
paid	4	paid4	The entrepreneur paid by the industrialist founded a successful company . 
recognized	1	recognized1	The man recognized by the spy took-off down the street .
recognized	2	recognized2	The actor recognized by the reporter waved enthusiastically . 
recognized	3	recognized3	The poet recognized by the writer smiled .
recognized	4	recognized4	The driver recognized by the passenger grinned cheerfully . 
recorded	1	recorded1	The priest recorded by the mob preached non-violence . 
recorded	2	recorded2	The management recorded by the employee talked-about privacy .
recorded	3	recorded3	The dancer recorded by his trainer practiced energetically .
recorded	4	recorded4	The influencer recorded by her fans started-trending rapidly . 
scratched	1	scratched1	The girl scratched by the cat enjoyed the sunny afternoon .
scratched	2	scratched2	The toddler scratched by the table exclaimed in-surprise . 
scratched	3	scratched3	The dog scratched by a stranger barked loudly .
scratched	4	scratched4	The diamond scratched by the machine remained flawless .
selected	1	selected1	The applicant selected by the company gained more information . 
selected	2	selected2	The professor selected by the university made plans-to-move . 
selected	3	selected3	The chef selected by the restaurant advertised his signature dish .
selected	4	selected4	The developer selected by the team solved the problem efficiently . 
sketched	1	sketched1	The culprit sketched by the investigator escaped .
sketched	2	sketched2	The apprentice sketched by the artist rolled-up the canvas . 
sketched	3	sketched3	The painter sketched by her student looked happy . 
sketched	4	sketched4	The robot sketched by the illustrator gained popularity rapidly . 
studied	1	studied1	The soldier studied by the general fought valiantly . 
studied	2	studied2	The writer studied by the scholar wrote a radical book . 
studied	3	studied3	The apprentice studied by the blacksmith forged a shield .
studied	4	studied4	The scholars studied by the psychologist were attentive . 
envied	1	envied1	The officer envied by the assistant quit the job . 
envied	2	envied2	The principal envied by the administration complained incessantly .
envied	3	envied3	The man envied by his sister bought a new car .
envied	4	envied4	The plumber envied by the carpenter was well-known .
introduced	1	introduced1	The speaker introduced by the chairman charmed everyone . 
introduced	2	introduced2	The producer introduced by the association won many awards . 
introduced	3	introduced3	The elf introduced by the magician danced happily .
introduced	4	introduced4	The therapist introduced by the doctor listened carefully . 
challenged	1	challenged1	The protestors challenged by the authority marched on the streets . 
challenged	2	challenged2	The scientist challenged by the journalist demonstrated the invention .
challenged	3	challenged3	The dragon challenged by the wizard roared loudly .
challenged	4	challenged4	The programmer challenged by the supervisor accepted her mistake . 
